策展碼/清單碼,商品名稱,事件計數,購買者總人數,銷售業績,銷售件數
nan,文具角色明星見面會,,0,120762,374
C4583,POP MART哈利波特與火焰杯系列手辦盲盒公仔/ 12入盒裝,,0,5113,4
C4122,荷蘭 Just Dutch 手工編織Miffy布偶/...,,0,1995,3
C5141,NICI雞排小豬威比坐姿玩偶/ 20cm,,0,9309,8
C7058,玩樂主義線條小狗浪漫櫻花系列公仔盒玩/ 6入盒裝,,0,930,3
C4421,研達YENDAR吉伊卡哇招財公仔/ 兔兔,,0,1972,7
C0752,【誠品獨家】日本DECOLE誠品書店的店員貓公仔/ 拉書車,,0,356,2
C2084,木棉花超大壓克力立牌/ 葬送的芙莉蓮A款/ 芙莉蓮,,0,2436,8
,,,,,
nan,2026手帳桌掛曆,,0,114975,259
C6757,2026日本ほぼ日手帳/ Weeks/ 日語版/ 航海王/...,,0,19195,23
C2468,2025-26 MOLESKINE史努比週記手帳/ 18M/ 硬殼/...,,0,12819,13
C6468,2026 日本 MARK'S 日誌/...,,0,2204,3
C9884,2026旅行機票日曆,,0,5779,6
C0376,2026老派時光練愛曆×肆一日日的溫柔陪伴,,0,22843,55
C9344,【誠品獨家】2026 日本 APJ 香氛掛曆/...,,0,9278,23
C9245,2026德國 TUSHITA 掛曆/ Deep...,,0,2379,3
,,,,,
nan,文具煥新收納術,,0,79581,304
C4478,日本ほぼ日手帳 Stappo 直立式文具收納包/ Liberty...,,0,3724,17
C7550,KING JIM Spot Tool...,,0,0,0
C3049,日本 sun-star 超級瑪莉歐 Mitte...,,0,646,5
C2318,日本 HIGHTIDE Pavot 名片收納夾/...,,0,0,0
C2301,【誠品限定】SOU．SOU X 得力Deli桌上抽屜收納櫃/ /...,,0,5053,21
C2450,王子文具多用途曬娃收納包/ 橢圓/ 淡藍/ 小,,0,139,1
C0448,LIHIT LAB.藍色多用途隨身袋,,0,889,2
,,,,,
nan,文具潮藝全明星,,0,139940,438
C6356,EPSON智慧藍牙奶茶標籤機/ LW-,,0,0,0
C5141,NICI莫拉迷你袋鼠親子站姿玩偶/ 60cm,,0,9309,8
C3863,美國 BLACKWING X Fender...,,0,716,7
C0690,KING JIM HITOTOKI SODA透明PET卷狀膠帶/...,,0,578,5
C6785,KOKUYO x Eric聯名-R展開式筆袋/ 藍,,0,798,2
C7719,PLUS豆豆貼魔豆/ 限定版/ Dcard/ 狗狗與腸太郎,,0,659,10
C1673,路遙圓創貓的抱抱盒玩/ 娃娃版/ 6入盒裝,,0,7787,15
,,,,,
C6757,ほぼ日手帳,,0,19195,23
C6757,日本ほぼ日手帳書衣/ 塔麻歌子/ 發現塔麻歌子手帳了!,,0,19195,23
C6757,日本ほぼ日手帳書衣/ 100% Orange/ 松鼠去哪了?,,0,19195,23
C6757,日本ほぼ日手帳書衣/ 北岸由美/ 白貓的桌面裝飾,,0,19195,23
C6757,日本ほぼ日手帳書衣/ 坂口恭平/ 田野間的天空,,0,19195,23
C6757,日本ほぼ日手帳書衣/ Tragen/ 芥黃,,0,19195,23
C6757,日本ほぼ日手帳書衣/ Weeks/ 皆川明/ 滿天星/...,,0,19195,23
C6757,2026日本ほぼ日手帳/ Weeks/ 日語版/ Bow...,,0,19195,23
,,,,,
C9602,PILOT,,0,542,4
C3069,MOLESKINE x BLACKPINK無時效週記手帳,,0,4403,6
C9809,CARAN D'ACHE ALPINE FROST金屬削鉛筆機/...,,0,0,0
C3273,KOKUYO x Eric聯名點線筆記本/ 8mm/...,,0,304,3
C2896,uni uni-ball one P自動鋼珠筆/...,,0,237,3
C9884,2026子想安慰曆,,0,5779,6
C5141,【誠品獨家】NICI喬治企鵝站姿玩偶/ 30cm,,0,9309,8
C0752,日本 DECOLE Concombre 旅貓磁鐵/...,,0,356,2
,,,,,
C9970,MIDORI,,0,1733,7
C5159,日本 FRONTIER Creators Circus...,,0,0,0
C5125,法國 Clairefontaine Age-bag 皮革筆袋/...,,0,0,0
C3707,日本 MIDORI 和紙信紙/ 絲網印刷/...,,0,246,1
C3049,日本 sun-star mitte 筆袋/...,,0,646,5
C1423,美國 DAVID HOWELL 書籤/...,,0,1800,3
C8588,日本 APJ 花市系列花束造型信紙卡片/ 鬱金香組合,,0,439,3
C4122,荷蘭 Just Dutch 手工編織Melanie布偶/...,,0,1995,3
,,,,,
C7784,LAMY,,0,816,3
C9809,CARAN D'ACHE 849 GERMANIER原子筆/...,,0,0,0
C4044,PARKER新IM金屬系列限量版珠光白鋼筆啟程禮盒,,0,0,0
C1025,PILOT Custom 742鋼筆/ 黑/...,,0,754,5
C4266,Esterbrook Estie Sea Glass海玻璃銀夾鋼筆/...,,0,990,1
C9226,TWSBI ECO活塞上墨鋼筆/ 碧山/ F,,0,2800,2
C2402,IWI Essence精華系列大人的童話世界鋼筆/ 小王子,,0,858,5
C0596,PEN-LINKS BASIC.O貝斯可鋼筆+卡式鋼珠筆筆組/ 鴨綠色/ F,,0,664,1
,,,,,
C4122,新藝術運動,,0,1995,3
C6843,VISCONTI梵谷星空鋼筆禮盒組,,0,0,0
C5856,日本 Penon 藝術原子筆/ 莫內/...,,0,467,1
C3368,翡冷翠文創經典背袋/ 米勒/ 拾穗,,0,168,2
C9182,良繪製所CLASSYMOKU壁虎拼圖/ 梵谷名畫/ 盛開的杏花/ 150片,,0,884,1
C2761,日本 LIVHEART Art 名畫抱枕/...,,0,1290,2
C9864,雷諾瓦拼圖文化坊/傑克島的星期天下午/504片/秀拉,,0,0,0
C6067,【臻印藝術】世界名作小框畫 莫內 睡蓮,,0,0,0
,,,,,
C1673,路遙圓創公仔盒玩,,0,7787,15
C0752,日本 DECOLE Concombre 旅貓公仔/...,,0,356,2
C6343,SUNRISEPOP防風少年壓克力立牌/ 02/ 榆井秋彥,,0,1672,5
C6272,TOPTOY三麗鷗家族圓滾滾系列盲袋/ 單入隨機款,,0,1859,7
C3994,Parade盒玩/ 吉伊卡哇軟膠吊飾/ 單入隨機,,0,280,1
C4583,POP MART哈利波特與火焰杯系列手辦盲盒公仔/ 單入,,0,5113,4
C9994,Jinart海綿寶寶迷因比奇堡公仔盲盒/ 8入盒裝,,0,0,0
C6343,HOT TOYS排球少年Q版公仔盲盒/ 單入隨機/,,0,1672,5
,,,,,
